"","Item_Weight","Item_Fat_Content","Item_Visibility","Item_Type","Item_MRP","Outlet_Size","Outlet_Location_Type","Outlet_Type","Item_Outlet_Sales","Year"
"2672",5.73,"Low Fat",0.045371855,"Soft Drinks",86.0882,"Small","Tier 1","Supermarket Type1",1116.5466,16
"2673",12.15,"Low Fat",0.028642712,"Household",149.0708,"Medium","Tier 1","Supermarket Type1",1203.7664,14
"2674",5.44,"Regular",0.017047751,"Baking Goods",174.637,"High","Tier 3","Supermarket Type1",2999.429,26
"2675",17.7,"Regular",0.042562588,"Frozen Foods",165.021,"Other","Tier 2","Supermarket Type1",3425.541,11
"2676",12.6,"Low Fat",0.181769264,"Others",240.6196,"Medium","Tier 3","Supermarket Type3",4579.3724,28
"2677",12.1,"Low Fat",0.016812745,"Hard Drinks",180.666,"High","Tier 3","Supermarket Type1",4134.618,26
"2678",8.355,"Low Fat",0.0540205365,"Canned",145.6418,"High","Tier 3","Supermarket Type1",3384.2614,26
"2679",6.26,"Regular",0.016516867,"Meat",151.1366,"Other","Tier 3","Grocery Store",453.4098,15
"2680",15.75,"Low Fat",0.134960397,"Household",101.37,"High","Tier 3","Supermarket Type1",2097.27,26
"2681",5.905,"Low Fat",0.045614252,"Canned",221.5456,"High","Tier 3","Supermarket Type1",6852.4136,26
"2682",16,"Low Fat",0.099136036,"Household",210.3902,"Small","Tier 1","Supermarket Type1",1486.7314,16
"2683",20.25,"Low Fat",0.014222617,"Household",148.9418,"Small","Tier 1","Supermarket Type1",3531.4032,16
"2684",5.175,"Low Fat",0.037457098,"Canned",83.4224,"Medium","Tier 1","Supermarket Type1",1448.7808,14
"2685",9,"Low Fat",0.079279489,"Canned",77.2644,"High","Tier 3","Supermarket Type1",1335.5948,26
"2686",15.6,"Regular",0.045835395,"Snack Foods",168.2132,"Medium","Tier 1","Supermarket Type1",2367.5848,14
"2687",5.175,"Regular",0.029616108,"Snack Foods",107.7622,"Medium","Tier 3","Supermarket Type2",2011.3818,4
"2688",12.6,"Low Fat",0.0540205365,"Health and Hygiene",175.4028,"Medium","Tier 3","Supermarket Type3",6729.9064,28
"2689",18.7,"Low Fat",0.0576269,"Dairy",83.3566,"Medium","Tier 1","Supermarket Type1",1860.2452,14
"2690",17.6,"Low Fat",0.015687045,"Household",182.6976,"Small","Tier 1","Supermarket Type1",3440.8544,16
"2691",18.2,"Low Fat",0.162960415,"Health and Hygiene",43.5086,"High","Tier 3","Supermarket Type1",1070.6064,26
"2692",13.15,"Low Fat",0.024651269,"Household",179.5686,"Small","Tier 1","Supermarket Type1",1422.1488,16
"2693",8.6,"Regular",0.091195818,"Breads",130.231,"Other","Tier 3","Grocery Store",129.831,15
"2694",12.6,"Regular",0.058542509,"Fruits and Vegetables",168.6448,"Medium","Tier 3","Supermarket Type3",3408.896,28
"2695",20.35,"Low Fat",0.089608321,"Dairy",262.1594,"Medium","Tier 1","Supermarket Type1",3139.9128,14
"2696",7.39,"Low Fat",0.067766896,"Health and Hygiene",140.6812,"Small","Tier 2","Supermarket Type1",3704.5112,9
"2697",19.6,"Low Fat",0.041355366,"Household",88.7514,"Medium","Tier 1","Supermarket Type1",2656.542,14
"2698",16.25,"Low Fat",0.145913308,"Dairy",95.441,"Other","Tier 3","Grocery Store",193.082,15
"2699",6.28,"Low Fat",0.027748176,"Soft Drinks",86.5198,"Medium","Tier 1","Supermarket Type1",1395.5168,14
"2700",9.395,"Low Fat",0.159201868,"Soft Drinks",226.072,"High","Tier 3","Supermarket Type1",3621.952,26
"2701",7.72,"Low Fat",0.052274691,"Fruits and Vegetables",79.1986,"Other","Tier 2","Supermarket Type1",778.986,6
"2702",12.65,"Low Fat",0.042175992,"Household",106.4938,"High","Tier 3","Supermarket Type1",2465.4574,26
"2703",12.6,"Low Fat",0.057933643,"Meat",175.1738,"Small","Tier 1","Grocery Store",347.5476,28
"2704",16.75,"Low Fat",0.0540205365,"Breads",88.7856,"Other","Tier 2","Supermarket Type1",966.7416,11
"2705",15.5,"Regular",0.026280116,"Fruits and Vegetables",102.3332,"High","Tier 3","Supermarket Type1",922.7988,26
"2706",8.88,"Low Fat",0.086916126,"Hard Drinks",153.3682,"Medium","Tier 1","Supermarket Type1",1219.7456,14
"2707",18.25,"Low Fat",0.075347426,"Snack Foods",126.3046,"Other","Tier 2","Supermarket Type1",747.0276,11
"2708",8.935,"Low Fat",0.040410039,"Frozen Foods",52.9298,"Other","Tier 2","Supermarket Type1",539.298,6
"2709",16,"Low Fat",0.09911729,"Household",210.7902,"Small","Tier 2","Supermarket Type1",4460.1942,9
"2710",19.7,"Low Fat",0.053439522,"Fruits and Vegetables",55.093,"Medium","Tier 3","Supermarket Type2",1018.674,4
"2711",20.6,"Low Fat",0.023448504,"Fruits and Vegetables",93.9778,"Small","Tier 2","Supermarket Type1",2816.334,9
"2712",19.25,"Low Fat",0.108030434,"Household",32.4558,"Small","Tier 1","Supermarket Type1",101.8674,16
"2713",14.15,"Regular",0.024404558,"Fruits and Vegetables",198.311,"Small","Tier 1","Supermarket Type1",2553.343,16
"2714",6.63,"Regular",0.010961483,"Snack Foods",58.2588,"Other","Tier 2","Supermarket Type1",343.5528,11
"2715",11.8,"Regular",0.026358005,"Canned",39.6138,"Small","Tier 1","Supermarket Type1",365.5242,16
"2716",12.6,"Low Fat",0.03627089,"Breads",85.9566,"Small","Tier 1","Grocery Store",169.1132,28
"2717",12.85,"Low Fat",0.137227848,"Snack Foods",155.563,"Small","Tier 1","Supermarket Type1",4224.501,16
"2718",11.6,"Regular",0.144832027,"Dairy",239.8222,"Other","Tier 2","Supermarket Type1",4063.3774,6
"2719",12.6,"Regular",0.029157849,"Frozen Foods",97.0726,"Small","Tier 1","Grocery Store",293.6178,28
"2720",12.15,"Regular",0.058756205,"Fruits and Vegetables",161.0552,"Other","Tier 2","Supermarket Type1",3411.5592,6
"2721",4.635,"Low Fat",0.141108156,"Breads",128.2994,"Medium","Tier 1","Supermarket Type1",2698.4874,14
"2722",19.6,"Low Fat",0.024325592,"Dairy",48.5718,"Medium","Tier 3","Supermarket Type2",425.4462,4
"2723",20.2,"Regular",0.121500143,"Snack Foods",95.0752,"Other","Tier 2","Supermarket Type1",2588.6304,11
"2724",12.6,"Regular",0.160653682,"Canned",185.2266,"Medium","Tier 3","Supermarket Type3",5901.6512,28
"2725",9.395,"Regular",0.109096371,"Soft Drinks",44.6112,"Small","Tier 1","Supermarket Type1",511.3344,16
"2726",11.395,"Regular",0.069574013,"Meat",232.8616,"Small","Tier 2","Supermarket Type1",2812.3392,9
"2727",19.5,"Regular",0.027458099,"Canned",158.792,"Medium","Tier 3","Supermarket Type2",2556.672,4
"2728",18.35,"Regular",0.092226754,"Frozen Foods",184.4266,"Small","Tier 1","Supermarket Type1",3504.1054,16
"2729",5.365,"Regular",0.234733477,"Seafood",173.4764,"Other","Tier 3","Grocery Store",171.7764,15
"2730",11.8,"Regular",0.014144442,"Frozen Foods",180.4344,"Medium","Tier 3","Supermarket Type2",535.3032,4
"2731",11.3,"Low Fat",0.056754036,"Baking Goods",247.5118,"Other","Tier 2","Supermarket Type1",2470.118,6
"2732",19.6,"Low Fat",0.023999722,"Household",104.0964,"Other","Tier 2","Supermarket Type1",525.982,11
"2733",14,"Low Fat",0.041355366,"Starchy Foods",182.0634,"Medium","Tier 1","Supermarket Type1",4544.085,14
"2734",19.7,"Low Fat",0.024655594,"Soft Drinks",84.3592,"Small","Tier 1","Supermarket Type1",743.0328,16
"2735",12.5,"Low Fat",0.081134826,"Meat",220.0798,"Small","Tier 1","Supermarket Type1",4848.3556,16
"2736",12.3,"Low Fat",0.052608525,"Household",191.253,"Other","Tier 2","Supermarket Type1",2656.542,11
"2737",7.435,"Low Fat",0.084452363,"Starchy Foods",165.2158,"Small","Tier 1","Supermarket Type1",2840.9686,16
"2738",6.48,"Low Fat",0.033899898,"Snack Foods",146.9076,"Small","Tier 1","Supermarket Type1",2956.152,16
"2739",17.6,"Low Fat",0.058042926,"Meat",154.6314,"High","Tier 3","Supermarket Type1",1861.5768,26
"2740",8.155,"Low Fat",0.119692888,"Meat",188.453,"Other","Tier 2","Supermarket Type1",4364.319,11
"2741",16.1,"Low Fat",0.0343603,"Fruits and Vegetables",253.4356,"Medium","Tier 1","Supermarket Type1",2797.6916,14
"2742",15.5,"Regular",0.100922503,"Fruits and Vegetables",199.0768,"Medium","Tier 1","Supermarket Type1",2759.0752,14
"2743",12.6,"Low Fat",0.016956266,"Health and Hygiene",109.3228,"Medium","Tier 3","Supermarket Type3",2431.5016,28
"2744",4.785,"Low Fat",0.092576144,"Breads",121.0098,"Small","Tier 2","Supermarket Type1",2530.7058,9
"2745",14.6,"Low Fat",0.025742955,"Household",197.1084,"Medium","Tier 1","Supermarket Type1",4761.8016,14
"2746",6.445,"Low Fat",0.029812714,"Baking Goods",95.4436,"Medium","Tier 3","Supermarket Type2",1229.0668,4
"2747",4.88,"Regular",0.133382115,"Baking Goods",55.0298,"High","Tier 3","Supermarket Type1",647.1576,26
"2748",8.1,"Regular",0.0540205365,"Canned",88.5198,"High","Tier 3","Supermarket Type1",261.6594,26
"2749",8.395,"Low Fat",0.039484739,"Snack Foods",97.9042,"Small","Tier 2","Supermarket Type1",1686.4714,9
"2750",10,"Low Fat",0.021425341,"Household",250.175,"Small","Tier 1","Supermarket Type1",2996.1,16
"2751",12.6,"Regular",0.02624324,"Baking Goods",143.8128,"Medium","Tier 3","Supermarket Type3",4458.1968,28
"2752",12.35,"Regular",0.185704641,"Baking Goods",77.1328,"High","Tier 3","Supermarket Type1",2239.7512,26
"2753",11.3,"Low Fat",0.066668724,"Household",192.4478,"Small","Tier 2","Supermarket Type1",2712.4692,9
"2754",12.6,"Regular",0.149305497,"Meat",119.6124,"Small","Tier 1","Grocery Store",592.562,28
"2755",19.5,"Regular",0.030688557,"Canned",85.754,"Small","Tier 2","Supermarket Type1",2163.85,9
"2756",19.7,"Low Fat",0.041803291,"Frozen Foods",110.3912,"Medium","Tier 1","Supermarket Type1",3275.736,14
"2757",7.75,"Regular",0.082861686,"Frozen Foods",32.6558,"High","Tier 3","Supermarket Type1",679.116,26
"2758",15.1,"Low Fat",0.076385385,"Baking Goods",88.483,"Medium","Tier 3","Supermarket Type2",988.713,4
"2759",12.6,"Low Fat",0.021498768,"Fruits and Vegetables",111.5228,"Medium","Tier 3","Supermarket Type3",1768.3648,28
"2760",11.1,"Low Fat",0.033102681,"Household",116.6124,"Small","Tier 2","Supermarket Type1",1540.6612,9
"2761",7.075,"Low Fat",0.058676973,"Dairy",142.0128,"Other","Tier 2","Supermarket Type1",2588.6304,6
"2762",7.97,"Low Fat",0.021531416,"Seafood",108.4596,"Small","Tier 2","Supermarket Type1",3020.0688,9
"2763",12.15,"Low Fat",0.028592842,"Household",151.0708,"Small","Tier 2","Supermarket Type1",2858.9452,9
"2764",14.1,"Low Fat",0.067148407,"Snack Foods",200.4084,"Medium","Tier 3","Supermarket Type2",3968.168,4
"2765",12.6,"Low Fat",0.026552056,"Canned",56.2246,"Medium","Tier 3","Supermarket Type3",1737.738,28
"2766",11.1,"Regular",0.060302689,"Frozen Foods",175.8712,"Other","Tier 3","Grocery Store",175.7712,15
"2767",12.6,"Low Fat",0.138269873,"Soft Drinks",111.686,"Small","Tier 1","Grocery Store",452.744,28
"2768",7.42,"Regular",0.036109859,"Seafood",186.5582,"Other","Tier 3","Grocery Store",185.7582,15
"2769",16.35,"Low Fat",0.020579897,"Fruits and Vegetables",52.1324,"Medium","Tier 1","Supermarket Type1",934.7832,14
"2770",19.1,"Regular",0.025912378,"Fruits and Vegetables",146.8418,"Medium","Tier 1","Supermarket Type1",1765.7016,14
"2771",12.6,"Regular",0.086077865,"Fruits and Vegetables",143.8102,"Small","Tier 1","Grocery Store",291.6204,28
"2772",5.19,"Regular",0.044432887,"Meat",102.899,"Medium","Tier 3","Supermarket Type2",1651.184,4
"2773",11.8,"Low Fat",0.115346634,"Soft Drinks",200.2084,"Medium","Tier 1","Supermarket Type1",4563.3932,14
"2774",11.35,"Regular",0.063226306,"Dairy",87.9856,"Small","Tier 1","Supermarket Type1",1494.0552,16
"2775",15.2,"Low Fat",0.03366718,"Household",109.6912,"Other","Tier 2","Supermarket Type1",1419.4856,11
"2776",11.5,"Low Fat",0.173867958,"Fruits and Vegetables",128.8652,"Other","Tier 2","Supermarket Type1",1291.652,11
"2777",20.25,"Regular",0.022936488,"Baking Goods",240.8538,"Small","Tier 2","Supermarket Type1",7931.6754,9
"2778",10.1,"Low Fat",0.054585372,"Health and Hygiene",196.5084,"High","Tier 3","Supermarket Type1",595.2252,26
"2779",13.1,"Low Fat",0.020913071,"Dairy",120.1782,"Other","Tier 2","Supermarket Type1",2026.0294,11
"2780",12,"Low Fat",0.104230135,"Health and Hygiene",259.5278,"Small","Tier 1","Supermarket Type1",2603.278,16
"2781",19,"Low Fat",0.111923422,"Frozen Foods",106.5622,"Small","Tier 1","Supermarket Type1",2117.244,16
"2782",19.7,"Low Fat",0.024756031,"Soft Drinks",83.8592,"Medium","Tier 3","Supermarket Type2",247.6776,4
"2783",12.6,"Regular",0.135375727,"Fruits and Vegetables",256.133,"Small","Tier 1","Grocery Store",256.333,28
"2784",18.6,"Low Fat",0.012679226,"Household",120.9414,"Other","Tier 2","Supermarket Type1",2680.5108,11
"2785",11.5,"Low Fat",0.173483253,"Fruits and Vegetables",129.0652,"Small","Tier 2","Supermarket Type1",3487.4604,9
"2786",16.75,"Low Fat",0.045138797,"Snack Foods",187.9556,"Other","Tier 2","Supermarket Type1",2816.334,11
"2787",18.85,"Low Fat",0.04282359,"Canned",254.433,"Medium","Tier 3","Supermarket Type2",2050.664,4
"2788",6.135,"Low Fat",0.115010655,"Soft Drinks",161.5236,"Small","Tier 2","Supermarket Type1",1288.9888,9
"2789",20.7,"Low Fat",0.169776346,"Canned",184.4266,"Small","Tier 2","Supermarket Type1",3688.532,9
"2790",17.6,"Low Fat",0.041608488,"Soft Drinks",165.4526,"Small","Tier 2","Supermarket Type1",1644.526,9
"2791",16,"Low Fat",0.072608647,"Household",228.3668,"High","Tier 3","Supermarket Type1",5298.4364,26
"2792",8.92,"Low Fat",0.130191993,"Household",176.837,"Other","Tier 2","Supermarket Type1",2117.244,11
"2793",17.75,"Low Fat",0.111931193,"Others",108.8912,"Other","Tier 2","Supermarket Type1",327.5736,6
"2794",15.6,"Low Fat",0.116913245,"Frozen Foods",78.167,"Small","Tier 1","Supermarket Type1",1837.608,16
"2795",12.6,"Regular",0.13511877,"Soft Drinks",232.9958,"Small","Tier 1","Grocery Store",934.7832,28
"2796",17.75,"Regular",0.063416566,"Baking Goods",154.6656,"Other","Tier 3","Grocery Store",308.9312,15
"2797",5.73,"Low Fat",0.075943184,"Soft Drinks",85.5882,"Other","Tier 3","Grocery Store",171.7764,15
"2798",5.73,"Low Fat",0.05190652,"Soft Drinks",188.1898,"Other","Tier 2","Supermarket Type1",1496.7184,11
"2799",9.3,"Low Fat",0.175060504,"Snack Foods",106.7964,"Medium","Tier 3","Supermarket Type2",525.982,4
"2800",20.2,"Low Fat",0.099893424,"Household",187.6898,"Small","Tier 2","Supermarket Type1",3928.8858,9
"2801",12.6,"Low Fat",0.178923163,"Fruits and Vegetables",55.7298,"Small","Tier 1","Grocery Store",161.7894,28
"2802",12.15,"Low Fat",0.0540205365,"Starchy Foods",119.244,"Small","Tier 2","Supermarket Type1",2636.568,9
"2803",21.35,"Low Fat",0.068765205,"Canned",260.4278,"High","Tier 3","Supermarket Type1",3644.5892,26
"2804",20.2,"Regular",0.096906831,"Meat",175.5028,"Medium","Tier 3","Supermarket Type2",6729.9064,4
"2805",6.57,"Low Fat",0.096862255,"Household",193.982,"Small","Tier 2","Supermarket Type1",2316.984,9
"2806",19.35,"Regular",0.062528426,"Baking Goods",166.9184,"Small","Tier 1","Supermarket Type1",3302.368,16
"2807",8.6,"Low Fat",0.032621545,"Health and Hygiene",143.2154,"Small","Tier 1","Supermarket Type1",2127.231,16
"2808",8.51,"Low Fat",0.05190268,"Household",142.247,"High","Tier 3","Supermarket Type1",2862.94,26
"2809",12.6,"Regular",0.170246782,"Fruits and Vegetables",141.5838,"Medium","Tier 3","Supermarket Type3",3231.1274,28
"2810",7.5,"Low Fat",0.054610829,"Frozen Foods",237.1906,"Other","Tier 3","Grocery Store",237.6906,15
"2811",14.3,"Low Fat",0.127517605,"Frozen Foods",86.0224,"Small","Tier 2","Supermarket Type1",1022.6688,9
"2812",15,"Low Fat",0.064271703,"Hard Drinks",45.506,"Other","Tier 2","Supermarket Type1",466.06,11
"2813",14.3,"Low Fat",0.13030659,"Baking Goods",75.7328,"High","Tier 3","Supermarket Type1",617.8624,26
"2814",10.195,"Low Fat",0.187841082,"Hard Drinks",112.486,"Other","Tier 3","Grocery Store",113.186,15
"2815",6.825,"Regular",0.046625941,"Canned",154.9998,"Small","Tier 2","Supermarket Type1",3075.996,9
"2816",12.65,"Low Fat",0.035410748,"Baking Goods",231.401,"Small","Tier 1","Supermarket Type1",2067.309,16
"2817",11.15,"Low Fat",0.032250092,"Health and Hygiene",164.0526,"Small","Tier 2","Supermarket Type1",4769.1254,9
"2818",19.1,"Low Fat",0.045378573,"Dairy",42.4138,"Medium","Tier 1","Supermarket Type1",243.6828,14
"2819",18.85,"Low Fat",0.0926587,"Baking Goods",131.4284,"Other","Tier 3","Grocery Store",263.6568,15
"2820",19.6,"Low Fat",0.024222321,"Dairy",45.5718,"Small","Tier 2","Supermarket Type1",945.436,9
"2821",15.1,"Low Fat",0.055518167,"Fruits and Vegetables",217.3166,"Other","Tier 2","Supermarket Type1",1306.2996,6
"2822",12.6,"Low Fat",0.031946638,"Canned",51.6008,"Medium","Tier 3","Supermarket Type3",1821.6288,28
"2823",6.425,"Low Fat",0.093983518,"Fruits and Vegetables",175.5712,"Other","Tier 2","Supermarket Type1",1230.3984,6
"2824",8.88,"Low Fat",0.098822387,"Household",209.627,"Other","Tier 2","Supermarket Type1",1887.543,11
"2825",12.3,"Low Fat",0.009410528,"Baking Goods",73.738,"Small","Tier 1","Supermarket Type1",1318.284,16
"2826",12.85,"Low Fat",0.169139066,"Frozen Foods",46.406,"Medium","Tier 3","Supermarket Type2",186.424,4
"2827",11.35,"Regular",0.043122189,"Fruits and Vegetables",197.9742,"High","Tier 3","Supermarket Type1",995.371,26
"2828",12.6,"Low Fat",0.035769657,"Soft Drinks",40.9138,"Medium","Tier 3","Supermarket Type3",1380.8692,28
"2829",19,"Regular",0.10361083,"Fruits and Vegetables",228.372,"Medium","Tier 1","Supermarket Type1",905.488,14
"2830",10.195,"Regular",0.044974051,"Fruits and Vegetables",115.5808,"Small","Tier 2","Supermarket Type1",1874.8928,9
"2831",8.27,"Low Fat",0.018920019,"Health and Hygiene",238.088,"Other","Tier 2","Supermarket Type1",6231.888,6
"2832",14.85,"Regular",0.054142088,"Baking Goods",124.1072,"Other","Tier 2","Supermarket Type1",1837.608,6
"2833",12.6,"Low Fat",0.0540205365,"Frozen Foods",98.241,"Small","Tier 1","Grocery Store",289.623,28
"2834",18,"Low Fat",0.124645538,"Frozen Foods",117.2124,"Medium","Tier 1","Supermarket Type1",2133.2232,14
"2835",7.1,"Low Fat",0.110459828,"Fruits and Vegetables",172.108,"Medium","Tier 3","Supermarket Type2",2250.404,4
"2836",8.355,"Low Fat",0.013957308,"Baking Goods",94.0462,"Other","Tier 2","Supermarket Type1",1480.7392,11
"2837",9.8,"Regular",0.056386541,"Breads",84.6908,"Small","Tier 1","Supermarket Type1",503.3448,16
"2838",18.2,"Regular",0.012273747,"Fruits and Vegetables",60.0904,"Other","Tier 2","Supermarket Type1",1113.2176,6
"2839",12.6,"Regular",0.090473389,"Frozen Foods",229.7984,"Medium","Tier 3","Supermarket Type3",6024.1584,28
"2840",14.65,"Low Fat",0.083359391,"Household",161.9552,"Small","Tier 1","Supermarket Type1",4711.2008,16
"2841",12.6,"Low Fat",0.112161697,"Canned",154.4682,"Small","Tier 1","Grocery Store",152.4682,28
"2842",9.695,"Regular",0.128805815,"Baking Goods",224.0404,"Medium","Tier 3","Supermarket Type2",5851.0504,4
"2843",12.6,"Low Fat",0.090596378,"Others",106.6938,"Medium","Tier 3","Supermarket Type3",2251.0698,28
"2844",13.85,"Regular",0.056637129,"Breakfast",233.83,"Other","Tier 2","Supermarket Type1",2796.36,6
"2845",7.75,"Regular",0.083059634,"Frozen Foods",35.7558,"Medium","Tier 1","Supermarket Type1",611.2044,14
"2846",11.8,"Regular",0.014115626,"Frozen Foods",178.5344,"Other","Tier 2","Supermarket Type1",3390.2536,11
"2847",12.3,"Low Fat",0.076866235,"Household",247.146,"Medium","Tier 3","Supermarket Type2",492.692,4
"2848",16,"Regular",0.099188598,"Frozen Foods",88.9856,"High","Tier 3","Supermarket Type1",1669.8264,26
"2849",11.5,"Low Fat",0.021010687,"Health and Hygiene",131.3942,"Medium","Tier 1","Supermarket Type1",927.4594,14
"2850",12.6,"Regular",0.057143515,"Meat",151.8366,"Medium","Tier 3","Supermarket Type3",6196.6006,28
"2851",7.36,"Low Fat",0.052607932,"Frozen Foods",56.3588,"Other","Tier 2","Supermarket Type1",744.3644,6
"2852",7.64,"Regular",0.070645636,"Snack Foods",91.212,"High","Tier 3","Supermarket Type1",466.06,26
"2853",17.75,"Low Fat",0.014568036,"Fruits and Vegetables",158.1262,"High","Tier 3","Supermarket Type1",4137.2812,26
"2854",17.75,"Low Fat",0.073524776,"Seafood",34.8216,"Medium","Tier 1","Supermarket Type1",207.7296,14
"2855",7.27,"Low Fat",0.046559448,"Health and Hygiene",100.5384,"Small","Tier 1","Supermarket Type1",2463.46,16
"2856",7.67,"Low Fat",0.309390255,"Household",33.2216,"Other","Tier 3","Grocery Store",138.4864,15
"2857",20.2,"Regular",0.039247736,"Breakfast",157.663,"Small","Tier 1","Supermarket Type1",1095.241,16
"2858",16,"Low Fat",0.040945898,"Snack Foods",143.1496,"Small","Tier 1","Supermarket Type1",2258.3936,16
"2859",9.5,"Low Fat",0.031331581,"Fruits and Vegetables",111.1228,"Medium","Tier 1","Supermarket Type1",663.1368,14
"2860",19.1,"Low Fat",0.096929994,"Fruits and Vegetables",233.8958,"Other","Tier 2","Supermarket Type1",2103.2622,11
"2861",15,"Regular",0.026840766,"Baking Goods",219.8456,"Small","Tier 1","Supermarket Type1",4863.0032,16
"2862",7.035,"Low Fat",0.0540205365,"Frozen Foods",262.691,"High","Tier 3","Supermarket Type1",6048.793,26
"2863",19.75,"Low Fat",0.041429246,"Fruits and Vegetables",117.2466,"Medium","Tier 1","Supermarket Type1",2239.0854,14
"2864",12.6,"Regular",0.0540205365,"Frozen Foods",145.276,"Medium","Tier 3","Supermarket Type3",5273.136,28
"2865",12.6,"Regular",0.0540205365,"Dairy",196.4794,"Medium","Tier 3","Supermarket Type3",5852.382,28
"2866",11.8,"Regular",0.025978802,"Meat",102.5674,"Other","Tier 2","Supermarket Type1",1629.8784,11
"2867",12.6,"Regular",0.066006824,"Dairy",126.2704,"Small","Tier 1","Grocery Store",250.3408,28
"2868",12.6,"Regular",0.0540205365,"Fruits and Vegetables",178.5318,"Small","Tier 1","Grocery Store",180.4318,28
"2869",19.1,"Low Fat",0.045492697,"Dairy",40.3138,"Medium","Tier 3","Supermarket Type2",527.9794,4
"2870",13.6,"Regular",0.043618827,"Fruits and Vegetables",156.7946,"High","Tier 3","Supermarket Type1",2840.3028,26
"2871",5.34,"Regular",0.005963881,"Snack Foods",99.5358,"Small","Tier 1","Supermarket Type1",1407.5012,16
"2872",18.2,"Low Fat",0.08982696,"Fruits and Vegetables",197.111,"High","Tier 3","Supermarket Type1",589.233,26
"2873",12.15,"Low Fat",0.079431643,"Health and Hygiene",38.6506,"Small","Tier 1","Supermarket Type1",796.9626,16
"2874",14.35,"Low Fat",0.017135155,"Health and Hygiene",109.8228,"Other","Tier 2","Supermarket Type1",1657.842,6
"2875",17.35,"Low Fat",0.056005781,"Baking Goods",99.2016,"Medium","Tier 1","Supermarket Type1",1518.024,14
"2876",10.695,"Regular",0.145253944,"Snack Foods",156.8972,"Other","Tier 3","Grocery Store",467.3916,15
"2877",7.22,"Regular",0.0383808,"Baking Goods",62.351,"Medium","Tier 1","Supermarket Type1",885.514,14
"2878",19.1,"Low Fat",0.03856376,"Fruits and Vegetables",209.2586,"Small","Tier 1","Supermarket Type1",3165.879,16
"2879",8.26,"Regular",0.032625074,"Soft Drinks",124.673,"Other","Tier 2","Supermarket Type1",1847.595,6
"2880",12.6,"Regular",0.069909188,"Soft Drinks",163.2868,"Small","Tier 1","Grocery Store",491.3604,28
"2881",14,"Regular",0.037491314,"Frozen Foods",164.2526,"High","Tier 3","Supermarket Type1",1808.9786,26
"2882",6.615,"Regular",0.09234651,"Canned",251.8408,"Medium","Tier 3","Supermarket Type2",4506.1344,4
"2883",14.15,"Low Fat",0.183879453,"Soft Drinks",82.9276,"Other","Tier 2","Supermarket Type1",1705.7796,11
"2884",11.8,"Regular",0.107274301,"Dairy",221.1772,"Other","Tier 2","Supermarket Type1",3113.2808,11
"2885",12.6,"Regular",0.047570401,"Frozen Foods",125.7362,"Medium","Tier 3","Supermarket Type3",3020.0688,28
"2886",19.2,"Low Fat",0.100640587,"Frozen Foods",112.6886,"Other","Tier 2","Supermarket Type1",1779.0176,6
"2887",18.85,"Low Fat",0.036111038,"Meat",58.1562,"Other","Tier 2","Supermarket Type1",1185.124,11
"2888",17,"Regular",0.140090284,"Canned",265.1884,"Medium","Tier 3","Supermarket Type2",6359.7216,4
"2889",12.5,"Low Fat",0.031225303,"Fruits and Vegetables",102.899,"Other","Tier 2","Supermarket Type1",2167.179,6
"2890",12.6,"Low Fat",0.086752988,"Dairy",98.141,"Medium","Tier 3","Supermarket Type3",1737.738,28
"2891",8.6,"Regular",0.040369315,"Canned",189.753,"Medium","Tier 3","Supermarket Type2",2846.295,4
"2892",9.3,"Low Fat",0.043777415,"Hard Drinks",192.9846,"Small","Tier 2","Supermarket Type1",6114.7072,9
"2893",7.27,"Low Fat",0.046631836,"Health and Hygiene",98.4384,"Medium","Tier 1","Supermarket Type1",1576.6144,14
"2894",11.8,"Regular",0.076839735,"Snack Foods",34.9558,"Medium","Tier 1","Supermarket Type1",373.5138,14
"2895",16.35,"Low Fat",0.0540205365,"Fruits and Vegetables",198.5426,"Small","Tier 1","Supermarket Type1",1384.1982,16
"2896",12.6,"Regular",0.277459381,"Meat",156.3946,"Small","Tier 1","Grocery Store",473.3838,28
"2897",12.6,"Low Fat",0.099478451,"Snack Foods",194.4452,"Medium","Tier 3","Supermarket Type3",4697.8848,28
"2898",20,"Low Fat",0.034369528,"Baking Goods",43.7086,"Small","Tier 1","Supermarket Type1",892.172,16
"2899",5.82,"Low Fat",0.0540205365,"Household",169.379,"High","Tier 3","Supermarket Type1",2376.906,26
"2900",18.75,"Low Fat",0.01035692,"Household",208.3954,"High","Tier 3","Supermarket Type1",2709.1402,26
"2901",9.5,"Regular",0.104488444,"Canned",77.896,"Small","Tier 2","Supermarket Type1",1997.4,9
"2902",12.6,"Low Fat",0.028456456,"Fruits and Vegetables",43.5454,"Medium","Tier 3","Supermarket Type3",755.0172,28
"2903",10.5,"Low Fat",0.027271252,"Household",171.6106,"Small","Tier 2","Supermarket Type1",2566.659,9
"2904",20.5,"Low Fat",0.036346224,"Frozen Foods",72.9696,"Small","Tier 2","Supermarket Type1",596.5568,9
"2905",12.3,"Regular",0.064984487,"Starchy Foods",92.5804,"Other","Tier 2","Supermarket Type1",2297.01,6
"2906",13.1,"Regular",0.044372393,"Fruits and Vegetables",180.3318,"Medium","Tier 3","Supermarket Type2",2886.9088,4
